Data,CARGA_N,CARGA_NE,CARGA_S,CARGA_SE
2012-11-30,2910027.63019746,6493611.93399791,7422200.67921833,24903951.79124175
2012-12-31,2925930.29999807,6808841.06999759,7644643.50899797,26917366.9269969
2013-01-31,2943242.55999801,6842186.29399763,7819904.39299769,25604967.61399714
2013-02-28,2734074.58999787,6268970.38199824,7370724.97599819,24665081.66799781
2013-03-31,3138555.40999749,7129048.42199776,7565781.63299797,26889682.90299732
2013-04-30,3056302.20999726,6927307.7559982,7319657.54999769,24844275.42499724
2013-05-31,3136561.6839974,6792465.23599806,7271226.61869828,24586270.28292467
2013-06-30,2892488.7629982,6477553.45799818,7089399.05799802,23737573.48199748
2013-07-31,3450187.69499785,6641396.79199835,7553724.98699763,24471199.30599736
2013-08-31,3853218.71299781,6687695.03500316,7466203.19341748,25269398.72399735
2013-09-30,3735809.91899805,6637153.07599811,7105792.22069729,25031969.35399718
2013-10-31,3820414.51053126,7074579.35512176,7551538.29691717,26305590.5128925
2013-11-30,3627913.59899783,6838579.997998,7570185.83399731,25474763.5619977
2013-12-31,3726479.77799832,6874025.21799845,7833845.28499767,25426794.33529736
2014-01-31,3856086.49999723,7222111.68969051,8759986.18035955,28796416.39999717
2014-02-28,3371343.89799779,6344802.55039813,8046325.88439491,25826222.95532614
2014-03-31,3861521.43399737,7225974.89875783,8087913.63145071,27931801.99975505
2014-04-30,3761982.22799747,7036809.90812726,7487028.02289085,25550615.37499777
2014-05-31,3815188.69152293,7087362.94075241,7454628.96741546,26270097.68279051
2014-06-30,3589054.81666169,6581910.47428805,7144911.90231773,24567083.27946194
2014-07-31,3716301.75999791,6850304.42302486,7535660.61216109,25404758.97799658
2014-08-31,3806758.63999787,6871512.48733711,7398080.60443495,25695605.53185775
2014-09-30,3811902.84399783,6905305.73848324,7170889.40243529,25999835.37699773
2014-10-31,3805315.02999789,7218776.23735448,7787374.74177221,27534120.47899762
2014-11-30,3708839.26919525,7075077.44159332,7741176.30546885,26122149.35699745
2014-12-31,3771009.9039978,7191292.4162635,7972850.60992077,26911366.04470946
2015-01-31,3714584.72099734,7471444.47968585,8636115.74768753,30107979.44999735
2015-02-28,3361545.73799766,6722450.12371051,7867156.52833375,26297901.89986628
2015-03-31,3788042.46733123,7483675.52607406,8647405.84762576,28428561.63094433
2015-04-30,3588496.13799739,6998479.63105211,7268967.5511419,24889521.22833316
2015-05-31,3809919.90499721,7294436.5949326,7319303.13304731,24714214.94799757
2015-06-30,3662279.09972025,6802319.64338357,7033816.64499806,23382406.80489989
2015-07-31,3735027.46699772,6777644.22622113,7295007.4583390895,24563566.91899746
2015-08-31,3895949.69099809,6851335.8327736,7401085.72809712,25213941.98802352
2015-09-30,3993862.09199809,6897588.76043859,7138494.21044556,25556951.36699729
2015-10-31,4115362.85499836,7353424.30693166,7546078.53269694,27221764.58099743
2015-11-30,3930922.22899833,7324506.09420586,7308307.87835327,26151872.49599728
2015-12-31,4005261.24099834,7504804.13195324,7614932.62929885,27236561.35099663
2016-01-31,3825887.61499813,7129605.83782531,8376063.29455694,27197701.79327547
2016-02-29,3646600.23799785,6908584.69539802,8188807.52713654,27509009.0830463
2016-03-31,3938527.38699784,7722051.62499836,8141228.37943464,28610522.25474522
2016-04-30,3890909.31899713,7017846.85299711,7967900.15073488,27140905.8174357
2016-05-31,3944644.02299786,7484464.49539815,7414308.12799753,25280659.37499716
2016-06-30,3723106.1999982,7062314.31299818,7642453.51099757,23955632.27699735
2016-07-31,3873974.50399806,7107847.69799789,7537114.1999977,24687853.25899713
2016-08-31,4076373.69799833,7194464.9768973095,7639567.4009975,25526720.85609779
2016-09-30,3921861.09099856,7125963.25799799,7262324.4499974,25034873.07399724
2016-10-31,4057833.69401917,7560108.11299804,7587746.32809781,26119863.33399699
2016-11-30,4018874.59599852,7354134.10989821,7762086.31959759,25015324.8039971
2016-12-31,3894162.86499769,7599794.93299795,8324263.4846973,26606093.60599711
2017-01-31,3777573.02499765,7813707.00499827,8854093.32809736,28999197.3499971
2017-02-28,3471102.21399733,7079662.49958047,8419947.33689763,26922402.70799757
2017-03-31,4011729.66499716,8011655.11399845,8681010.82099788,29340347.91899709
2017-04-30,3806943.78099745,7462320.9009981,7511422.55399811,25780324.55399712
2017-05-31,4159111.91899749,7641916.06899853,7633607.14299841,25604117.15989737
2017-06-30,3941810.34699759,7128576.73499822,7443495.2929973705,24378323.65599747
2017-07-31,3949016.72399791,7000154.88199764,7799934.85999783,24218715.95599709
2017-08-31,4145989.49899823,7270551.13789769,7894428.27599762,25164104.99199692
2017-09-30,4050549.8339978,6985257.93799749,7771207.47699812,25584461.67479727
2017-10-31,4161221.61899819,7601597.64999802,7781397.18399781,27198324.973997
2017-11-30,3999524.88999823,7467402.69399811,7784288.83099708,25785321.45599734
2017-12-31,4005389.03364756,7783907.559963,8463833.41799764,27331937.10434733
2018-01-31,3924689.92724837,7842477.89399824,8700763.15199789,29026996.55599697
2018-02-28,3617624.3269975,6962430.8659985,8124509.89499794,25898145.34399737
2018-03-31,4137947.03099714,7866680.25799855,8847021.98199792,29780818.03899669
2018-04-30,3829489.87199736,7464272.35399837,8311572.37099242,26406685.04499695
2018-05-31,3856949.61099709,7584103.57899818,7760197.57703644,25443181.43499692
2018-06-30,3759374.60499728,7093453.16399756,7637973.06899824,24377857.35999763
2018-07-31,3805607.41399739,7314189.6509975,7992059.77297953,25235926.26299712
2018-08-31,3927490.43299755,7422682.60499773,7956554.6820826195,25642304.63299721
2018-09-30,3889796.11499798,7368148.21299766,7528605.37699744,25551507.21399715
2018-10-31,4040767.16199792,8035551.86799817,8002382.60400002,27430482.10599721
2018-11-30,3806568.86799779,7755525.75299794,8132633.68698622,26405714.37499713
2018-12-31,3821943.00899678,7773267.77199815,8580341.89693344,28389835.24599719
2019-01-31,3941807.34099709,8132580.23499824,9548465.8090197,31347642.0909967
2019-02-28,3698468.77299745,7552899.88299847,8327847.2259979,27328226.81899728
2019-03-31,4030075.11399701,8070913.96222851,8587788.76999789,28936155.86299648
2019-04-30,3862450.60399735,7867931.27599855,8150187.85799789,27279383.29499699
2019-05-31,4102439.98799727,8054547.42599825,7964611.51299739,26631904.23799735
2019-06-30,3923044.00099778,7144456.17399772,7561798.81207482,24643383.32399761
2019-07-31,3998959.5459979,7306721.63599755,7960202.02299801,24975798.48499703
2019-08-31,4122672.0329981,7272098.6229970995,8040641.77599776,25430405.17299698
2019-09-30,4077201.790998,7277000.97899758,7726418.18499802,26423800.70499714
2019-10-31,4163766.59099775,7958297.75799788,8459319.18099808,28211181.22599694
2019-11-30,4106873.09999812,7981599.97399804,8317804.70099786,26704387.07399717
2019-12-31,4152069.46699757,8280061.74099818,8650069.68499808,27444127.48999718
2020-01-31,4026526.84199739,8148703.80499832,9373754.91299853,29445710.25649718
2020-02-29,3837413.62899755,7653010.8969984,8896265.36299918,27495794.93699726
2020-03-31,3978520.58699691,7884239.79199844,9158852.86399921,28238410.83099745
2020-04-30,3543206.77599683,6906268.31699785,7391340.1629989,23325491.90999728
2020-05-31,3802944.35599687,7045986.15899767,7510978.49600866,23270891.62799695
2020-06-30,3806008.36999723,6797804.30999756,7333763.59999902,23503664.53499726
2020-07-31,4007995.62699772,7151725.54599759,7748547.7109978,25037676.23899712
2020-08-31,4280552.00099806,7298097.58599717,7755687.15102343,25804013.78299713
2020-09-30,4261299.81999807,7295193.27699748,7929172.63899753,27547549.74299717
2020-10-31,4435388.92299803,8220121.84999776,8583711.98699883,29004260.28599691
2020-11-30,4159775.21199824,7769466.86299756,8587634.74357796,27078764.25199686
2020-12-31,4320062.72699815,8307150.42799787,8866927.91420039,29153648.000997
2021-01-31,4106316.18199746,8261720.54499795,9211343.92447519,30424933.82699728
2021-02-28,3804225.16499776,7538616.7159985695,8527286.25205076,27411636.9989976
2021-03-31,4331222.58199706,8555750.94299858,9614946.48899836,31232524.59499743
2021-04-30,4324445.05699706,8037871.5529979,8640174.50297595,27879032.52499736
2021-05-31,4470180.97699743,8011349.35099792,8497834.00999894,28387960.28999748
2021-06-30,4290721.52199794,7896406.58699791,8129762.20099837,27069250.50099743
2021-07-31,4418918.62799825,8212370.91299759,8644793.3679979,27147908.68199763
2021-08-31,4674572.2339984,8389419.87299742,8661696.48299802,28359222.61599745
2021-09-30,4573276.70599822,8620269.13899728,8243306.45899792,29045001.40799787
2021-10-31,4590599.5729973,9061195.36371944,8246716.36099696,27996969.13736491
2021-11-30,4409722.96199749,8585268.94299791,8977335.86999863,28628598.54699749
2021-12-31,4444120.41399728,8678255.09249765,9422950.5069986,29594825.76299706
2022-01-31,4287741.05699714,8386776.50299803,10118652.55299876,30671601.54599783
2022-02-28,3934928.10599751,7898934.38399827,9210544.48999892,28524319.58899765
2022-03-31,4232527.87999713,8606118.60499804,9387601.31899877,33036006.46799741
2022-04-30,4213133.06199726,8159743.10399803,8017478.84199859,29457536.02599759
2022-05-31,4493353.73399739,8244082.62849787,8220926.91734232,28486493.79699733
2022-06-30,4369576.13099761,7494123.59999636,8072060.42592704,26968081.42999647
2022-07-31,4672126.12899755,7803583.09999645,8433485.8537776,28142023.50199647
2022-08-31,4898289.05399794,8041814.3519961,8247741.3202869,28283205.7059963
2022-09-30,4823060.76099814,7914895.56699655,7950779.32724877,27694707.89199671
2022-10-31,4942049.96199799,8646140.72399651,8025644.64403317,29480407.10199651
2022-11-30,4745027.11699803,8248642.32699681,8195993.74099686,27986560.54099654
2022-12-31,4822751.04699746,8413808.70099649,8943453.19499715,28817615.48299628
2023-01-31,4688386.95799713,8563651.08799677,9674703.48699732,29728744.4389965
2023-02-28,4322626.38099739,7938497.4579974,8817979.85299756,28530807.76899699
2023-03-31,4948684.06899722,8547024.55199677,10062434.52884111,32129554.4889965
2023-04-30,4894739.63599715,8151649.74699721,8315977.86196842,28420983.80999679
2023-05-31,5349482.98399713,8895754.75899701,8981761.90259856,29624290.18699662
2023-06-30,5123410.02599767,8390335.96799702,8434101.40897896,27805684.58399654
2023-07-31,5364592.01099786,8630504.59299656,8780239.15953753,28540575.21699619
2023-08-31,5622424.78499786,8920538.29599668,9079992.13398461,30316082.43799633
2023-09-30,5577822.02899818,8866842.74399705,8811178.53399684,31259148.38999678
2023-10-31,5776345.62099777,9710065.16899689,9184155.22511784,32805861.23699642
2023-11-30,5485141.73599813,9730610.52699739,9512820.8389966,33345999.80099674
2023-12-31,5393965.3506804705,9799115.58002385,10430684.68511349,34369766.431913316
2024-01-31,5418266.54199807,9800845.05499702,10452026.4959967,33657999.28399609
2024-02-29,5088507.42499763,9181208.26899724,10903742.30199652,32432053.40099691
2024-03-31,5493616.50099733,9976468.87799714,10814551.33899652,35095078.22399708
2024-04-30,5357908.4609976,9413423.63399707,9733359.81199692,32905093.31899679
2024-05-31,5731346.00199712,9538931.85799685,9331659.31799675,32971793.48199699
2024-06-30,5559302.57099777,8779540.040997,9072872.67699677,29836144.09299688
2024-07-31,5813195.24299769,9148843.1409966,9638520.15799681,30513141.5809969
2024-08-31,6030554.25999755,9547072.03499683,9683766.79199692,31292343.78599705
2024-09-30,6118591.94199728,9439170.5939969,9249274.17899716,33101840.39499712
2024-10-31,6231345.64899747,10229712.98099667,10008492.55099686,33618588.53399672
2024-11-30,5972021.51699752,9960192.53999678,10313792.65499672,31790139.79399671
2024-12-31,5874244.51599762,10244722.37999689,9792671.22399683,33273408.13899659
