Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2030-04,298.99188,299.27625,298.57114,296.3811,293.9708
2030-05,298.45914,298.3612,294.2486,292.93427,289.62
2030-06,297.6081,298.09344,293.76617,292.55505,288.76086
2030-07,297.1678,298.28265,294.15582,292.19165,288.2271
2030-08,298.02872,299.69464,297.4977,294.15277,291.1986
2030-09,300.43927,301.51065,301.24887,295.84073,293.24103
2030-10,301.7234,300.56082,300.49597,295.26453,293.33456
2030-11,300.71198,299.82147,299.58087,295.60266,296.7332
2030-12,299.85388,298.8472,298.8266,296.2933,298.18625
2031-01,299.93686,299.24152,298.92776,297.4942,298.77155
2031-02,299.79272,299.44208,299.75253,298.627,299.48416
2031-03,298.83557,298.83398,299.4647,298.21677,296.83588
2031-04,298.78415,299.1369,298.5236,296.94336,294.2169
2031-05,298.12537,298.2367,295.29126,294.25024,291.0353
2031-06,297.2951,297.83643,294.09814,292.5595,289.38016
2031-07,296.69476,298.37903,294.37698,292.33533,289.81113
2031-08,298.67825,300.10907,298.7266,295.01697,291.06094
2031-09,301.22937,301.69415,302.12708,296.49356,293.62555
2031-10,301.49573,300.88727,301.587,296.44077,295.57672
2031-11,300.69543,300.0973,301.81882,297.3266,297.80463
2031-12,299.17126,299.63528,300.7164,297.9247,298.5009
2032-01,299.75507,299.382,298.8166,297.78357,300.7421
2032-02,300.3457,299.67227,300.1515,298.69568,299.4133
2032-03,300.22073,299.7785,299.83597,297.69592,297.41547
2032-04,299.88934,299.69482,298.22745,296.94757,297.0396
2032-05,299.97272,299.88538,297.28174,295.7816,292.16537
2032-06,299.58313,299.3739,294.9438,293.51855,289.22092
2032-07,299.42404,300.52774,296.73102,294.79126,289.9856
2032-08,300.60834,301.67874,299.22443,296.2279,290.20038
2032-09,304.01318,302.76425,300.6144,296.30597,291.34534
2032-10,305.88275,302.23065,301.98645,297.47015,294.0706
2032-11,300.96094,301.02972,301.4879,297.4766,296.26865
2032-12,300.90982,300.76715,301.21143,299.19843,299.33795
2033-01,300.94196,300.6267,301.46735,299.27136,299.6185
2033-02,300.984,301.71198,300.37567,298.23184,299.28244
2033-03,301.15793,301.14783,300.83963,298.555,297.78668
2033-04,301.4394,301.52454,299.97098,298.09772,293.87402
2033-05,301.72882,300.75885,296.82138,295.40833,290.2815
2033-06,300.7528,300.67535,292.93008,292.59576,286.98276
2033-07,299.74304,301.1758,294.46265,293.1513,289.0194
