Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1866-07,296.23248,297.53366,293.4114,291.93088,286.8524
1866-08,296.9159,298.4613,296.19095,293.53607,290.20938
1866-09,300.61893,300.07635,299.45786,295.0097,291.73035
1866-10,300.1472,299.4883,299.76532,295.64282,293.88245
1866-11,299.72076,298.8754,298.4929,295.27533,294.45444
1866-12,299.15512,298.54254,298.14697,296.15182,297.5164
1867-01,298.95868,298.16235,297.19293,296.7002,297.35406
1867-02,299.57587,299.06482,298.8129,297.4245,298.37094
1867-03,298.10107,298.55643,298.08752,296.42163,297.49542
1867-04,297.86884,297.85034,297.2773,295.44263,293.13116
1867-05,297.70035,297.84784,294.4077,292.98022,289.5986
1867-06,296.96277,297.01276,292.58627,291.21582,287.3188
1867-07,296.99152,297.87067,293.15222,291.47217,287.2138
1867-08,297.63287,299.04272,296.6883,293.68213,289.65887
1867-09,300.0428,299.75653,298.46765,294.424,291.40735
1867-10,300.50507,299.55725,298.9137,294.85022,293.91916
1867-11,300.1629,298.862,299.59238,296.20624,295.18164
1867-12,299.22263,298.49225,298.7262,296.7599,296.2783
1868-01,299.25342,298.1519,298.54892,297.64792,298.3952
1868-02,299.4417,298.79492,299.1898,297.6009,297.32944
1868-03,299.15997,298.9677,298.50848,296.63553,296.86777
1868-04,298.47482,298.4572,296.86545,295.00574,294.0302
1868-05,298.43225,298.16995,294.63705,293.2755,290.8105
1868-06,298.28925,298.25064,293.62085,292.80466,286.9539
1868-07,298.1441,299.07208,294.6442,292.4408,287.93777
1868-08,299.97333,300.54437,297.95154,294.33667,289.26837
1868-09,302.977,300.82455,298.73175,294.8661,289.57776
1868-10,302.2702,299.94135,300.2342,295.59924,292.19757
1868-11,300.7699,299.9289,299.97995,296.03644,294.47906
1868-12,298.6814,299.357,298.8728,296.74847,296.48438
1869-01,298.52563,299.59055,298.8897,296.90094,298.48013
1869-02,299.4657,299.53973,298.68265,296.78546,297.53488
1869-03,298.56335,299.33987,297.92188,296.90088,296.71478
1869-04,298.52417,299.3399,297.20584,295.83344,293.98386
1869-05,298.31067,299.05902,295.38046,294.1433,291.23474
1869-06,297.7447,299.12576,293.38852,292.23355,288.1261
1869-07,298.3423,299.328,294.09332,292.70392,286.4384
1869-08,298.06152,300.16193,297.0022,293.97223,289.45615
1869-09,302.477,301.79642,300.6713,295.2277,290.7351
1869-10,302.56165,300.42242,300.48593,296.13647,292.6336
1869-11,300.53375,299.2588,299.87817,296.20407,296.13895
1869-12,299.0044,299.0611,298.92816,296.5963,296.11874
